Subject,Sex,Age,Monolingual?,Sign Language?,Trial Number,Type of Action,Event,Trial Type,Word Order,Patient_Present,P_before_A,Exclude,Object Type,Spatial Cue
1,,,,,15,Transitive,Girl elbows old lady,Gesture,SOVS?,1,,1,Person,
1,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
1,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,1
1,,,,,18,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,1
1,,,,,19,Transitive,Old lady rubs fireman,Gesture,SV,1,,1,Person,
1,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
1,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
1,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
1,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
1,,,,,24,Transitive,Boy pokes heart,Gesture,OSV,1,1,,Object,1
1,,,,,25,Transitive,Fireman lifts car,Gesture,OSV,1,1,,Object,1
1,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,1,,,Person,1
1,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
1,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,1,,,Person,1
2,,,,,2,Intransitive,Star moves in circle,Speech,SV,0,0,,None,
2,,,,,3,Transitive,Old lady waves heart,Speech,SVO,1,0,,Object,
2,,,,,5,Transitive,Girl kisses boy,Speech,SVO,1,0,,Person,
2,,,,,6,Intransitive,Girl tumbles,Speech,SV,0,0,,None,
2,,,,,7,Transitive,Old lady pokes fireman,Speech,SVO,1,0,,Person,
2,,,,,8,Transitive,Fireman lifts car,Speech,SVO,1,0,,Object,
2,,,,,9,Transitive,Boy pokes heart,Speech,SVO,1,0,,Object,
2,,,,,10,Intransitive,Heart falls,Speech,SV,0,0,,None,
2,,,,,11,Intransitive,Fireman falls,Speech,SV,0,0,,None,
2,,,,,12,Intransitive,Star jumps,Speech,SV,0,0,,None,
2,,,,,13,Transitive,Girl throws old lady,Speech,SVO,1,0,,Person,
2,,,,,14,Transitive,Old lady rubs fireman,Speech,SVO,1,0,,Person,
2,,,,,15,Transitive,Old lady kisses star,Speech,SVO,1,0,,Object,
2,,,,,16,Transitive,Fireman kicks girl,Speech,SVO,1,0,,Person,
2,,,,,17,Intransitive,Boy skates,Speech,SV,0,0,,None,
2,,,,,18,Transitive,Girl elbows old lady,Speech,SV,0,0,,Person,
2,,,,,19,Intransitive,Ball rolls,Speech,SV,0,0,,None,
2,,,,,20,Transitive,Fireman throws star,Speech,SVO,1,0,,Object,
2,,,,,21,Transitive,Boy lifts girl,Speech,SVO,1,0,,Person,
2,,,,,22,Transitive,Girl rubs heart,Speech,SVO,1,0,,Object,
2,,,,,23,Intransitive,Car tumbles,Speech,SV,0,0,,None,
2,,,,,24,Transitive,Old lady elbows ball,Speech,SVO,1,0,,Object,
2,,,,,25,Transitive,Fireman pushes boy,Speech,SVO,1,0,,Person,
2,,,,,26,Intransitive,Old lady jumps,Speech,SV,0,0,,None,
2,,,,,27,Transitive,Girl pushes car,Speech,SVO,1,0,,Object,
2,,,,,28,Transitive,Boy kicks ball,Speech,SVO,1,0,,Object,
2,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
2,,,,,3,Transitive,Old lady waves heart,Gesture,SOV+OV,1,,1,Object,
2,,,,,5,Transitive,Girl kisses boy,Gesture,SOV,1,1,,Person,1
2,,,,,6,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
2,,,,,7,Transitive,Old lady pokes fireman,Gesture,OSV,1,1,,Person,1
2,,,,,8,Transitive,Fireman lifts car,Gesture,OSV,1,1,,Object,1
2,,,,,9,Transitive,Boy pokes heart,Gesture,OSV,1,1,,Object,1
2,,,,,10,Intransitive,Heart falls,Gesture,SV,0,,,None,
2,,,,,11,Intransitive,Fireman falls,Gesture,SV,0,,,None,
2,,,,,12,Intransitive,Star jumps,Gesture,SV,0,,,None,
2,,,,,13,Transitive,Girl throws old lady,Gesture,SOV,1,1,,Person,1
2,,,,,14,Transitive,Old lady rubs fireman,Gesture,SOV,1,1,,Person,1
2,,,,,15,Transitive,Old lady kisses star,Gesture,OSV,1,1,,Object,1
2,,,,,16,Transitive,Fireman kicks girl,Gesture,OSV,1,1,,Person,1
2,,,,,17,Intransitive,Boy skates,Gesture,SV,0,,,None,
2,,,,,18,Transitive,Girl elbows old lady,Gesture,SOV,1,1,,Person,1
2,,,,,19,Intransitive,Ball rolls,Gesture,SV,0,,,None,
2,,,,,20,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,1
2,,,,,21,Transitive,Boy lifts girl,Gesture,SOV,1,1,,Person,1
2,,,,,22,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
2,,,,,23,Intransitive,Car tumbles,Gesture,SV,0,,,None,
2,,,,,24,Transitive,Old lady elbows ball,Gesture,SOV,1,1,,Object,1
2,,,,,25,Transitive,Fireman pushes boy,Gesture,SOV,1,1,,Person,1
2,,,,,26,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
2,,,,,27,Transitive,Girl pushes car,Gesture,OSV,1,1,,Object,1
2,,,,,28,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,1
3,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
3,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
3,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
3,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
3,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
3,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
3,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
3,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
3,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
3,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
3,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
3,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
3,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
3,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
3,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
3,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
3,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
3,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
3,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
3,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
3,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
3,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
3,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
3,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
3,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
3,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
3,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
3,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
3,,,,,5,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,1
3,,,,,6,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,1
3,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
3,,,,,8,Transitive,Fireman pushes boy,Gesture,SOSV,1,1,,Person,1
3,,,,,9,Transitive,Old lady elbows ball,Gesture,SOV,1,1,,Object,1
3,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
3,,,,,11,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
3,,,,,12,Transitive,Boy lifts girl,Gesture,SOV,1,1,,Person,1
3,,,,,13,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,1
3,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
3,,,,,15,Transitive,Girl elbows old lady,Gesture,SOSV,1,1,,Person,1
3,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
3,,,,,17,Transitive,Fireman kicks girl,Gesture,SOSV,1,1,,Person,1
3,,,,,18,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,1
3,,,,,19,Transitive,Old lady rubs fireman,Gesture,SOSV,1,1,,Person,1
3,,,,,20,Transitive,Girl throws old lady,Gesture,SOSOV,1,1,,Person,1
3,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
3,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
3,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
3,,,,,24,Transitive,Boy pokes heart,Gesture,SOSV,1,1,,Object,1
3,,,,,25,Transitive,Fireman lifts car,Gesture,SOV,1,1,,Object,1
3,,,,,26,Transitive,Old lady pokes fireman,Gesture,SOSV,1,1,,Person,1
3,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
3,,,,,28,Transitive,Girl kisses boy,Gesture,SOSOV,1,1,,Person,1
4,,,,,2,Intransitive,Star moves in circle,Speech,SV,0,0,,None,
4,,,,,3,Transitive,Old lady waves heart,Speech,SVO,1,0,,Object,
4,,,,,5,Transitive,Girl kisses boy,Speech,SVO,1,0,,Person,
4,,,,,6,Intransitive,Girl tumbles,Speech,SV,0,0,,None,
4,,,,,7,Transitive,Old lady pokes fireman,Speech,SVO,1,0,,Person,
4,,,,,8,Transitive,Fireman lifts car,Speech,SVO,1,0,,Object,
4,,,,,9,Transitive,Boy pokes heart,Speech,SVO,1,0,,Object,
4,,,,,10,Intransitive,Heart falls,Speech,SV,0,0,,None,
4,,,,,11,Intransitive,Fireman falls,Speech,SV,0,0,,None,
4,,,,,12,Intransitive,Star jumps,Speech,SV,0,0,,None,
4,,,,,13,Transitive,Girl throws old lady,Speech,SVO,1,0,,Person,
4,,,,,14,Transitive,Old lady rubs fireman,Speech,SVO,1,0,,Person,
4,,,,,15,Transitive,Old lady kisses star,Speech,SVO,1,0,,Object,
4,,,,,16,Transitive,Fireman kicks girl,Speech,SVO,1,0,,Person,
4,,,,,17,Intransitive,Boy skates,Speech,SV,0,0,,None,
4,,,,,18,Transitive,Girl elbows old lady,Speech,SV,0,0,,Person,
4,,,,,19,Intransitive,Ball rolls,Speech,SV,0,0,,None,
4,,,,,20,Transitive,Fireman throws star,Speech,SVO,1,0,,Object,
4,,,,,21,Transitive,Boy lifts girl,Speech,SVO,1,0,,Person,
4,,,,,22,Transitive,Girl rubs heart,Speech,SVO,1,0,,Object,
4,,,,,23,Intransitive,Car tumbles,Speech,SV,0,0,,None,
4,,,,,24,Transitive,Old lady elbows ball,Speech,SVO,1,0,,Object,
4,,,,,25,Transitive,Fireman pushes boy,Speech,SVO,1,0,,Person,
4,,,,,26,Intransitive,Old lady jumps,Speech,SV,0,0,,None,
4,,,,,27,Transitive,Girl pushes car,Speech,SVO,1,0,,Object,
4,,,,,28,Transitive,Boy kicks ball,Speech,SVO,1,0,,Object,
4,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
4,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
4,,,,,5,Transitive,Girl kisses boy,Gesture,SV,1,,1,Person,
4,,,,,6,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
4,,,,,7,Transitive,Old lady pokes fireman,Gesture,SV,1,,1,Person,
4,,,,,8,Transitive,Fireman lifts car,Gesture,O,1,,1,Object,
4,,,,,9,Transitive,Boy pokes heart,Gesture,SOV,1,1,,Object,
4,,,,,10,Intransitive,Heart falls,Gesture,SV,0,,,None,
4,,,,,11,Intransitive,Fireman falls,Gesture,SV,0,,,None,
4,,,,,12,Intransitive,Star jumps,Gesture,SV,0,,,None,
4,,,,,13,Transitive,Girl throws old lady,Gesture,SOV,1,1,,Person,
4,,,,,14,Transitive,Old lady rubs fireman,Gesture,OSV,1,1,,Person,1
4,,,,,15,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,1
4,,,,,16,Transitive,Fireman kicks girl,Gesture,SOV,1,1,,Person,
4,,,,,17,Intransitive,Boy skates,Gesture,SV,0,,,None,
4,,,,,18,Transitive,Girl elbows old lady,Gesture,OSV,1,1,,Person,
4,,,,,19,Intransitive,Ball rolls,Gesture,SV,0,,,None,
4,,,,,20,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,
4,,,,,21,Transitive,Boy lifts girl,Gesture,SOV,1,1,,Person,
4,,,,,22,Transitive,Girl rubs heart,Gesture,SOV,1,1,,Object,1
4,,,,,23,Intransitive,Car tumbles,Gesture,SV,0,,,None,
4,,,,,24,Transitive,Old lady elbows ball,Gesture,SOV,1,1,,Object,
4,,,,,25,Transitive,Fireman pushes boy,Gesture,SOV,1,1,,Person,
4,,,,,26,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
4,,,,,27,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,
4,,,,,28,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,
5,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
5,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
5,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
5,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
5,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
5,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
5,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
5,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
5,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
5,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
5,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
5,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
5,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
5,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
5,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
5,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
5,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
5,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
5,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
5,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
5,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
5,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
5,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
5,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
5,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
5,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
5,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
5,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,1
5,,,,,5,Transitive,Boy kicks ball,Gesture,SOV,1,1,,Object,1
5,,,,,6,Transitive,Girl pushes car,Gesture,SOV,1,1,,Object,1
5,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
5,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
5,,,,,9,Transitive,Old lady elbows ball,Gesture,OSV,1,1,,Object,1
5,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
5,,,,,11,Transitive,Girl rubs heart,Gesture,OSV,1,1,,Object,1
5,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
5,,,,,13,Transitive,Fireman throws star,Gesture,SVO,1,1,,Object,
5,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
5,,,,,15,Transitive,Girl elbows old lady,Gesture,SVOV,1,,1,Person,1
5,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
5,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
5,,,,,18,Transitive,Old lady kisses star,Gesture,OSV,1,1,,Object,1
5,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,1,,,Person,
5,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
5,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
5,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
5,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
5,,,,,24,Transitive,Boy pokes heart,Gesture,OSV,1,1,,Object,1
5,,,,,25,Transitive,Fireman lifts car,Gesture,OSV,1,1,,Object,1
5,,,,,26,Transitive,Old lady pokes fireman,Gesture,OSV,1,1,,Person,1
5,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
5,,,,,28,Transitive,Girl kisses boy,Gesture,OSV,1,1,,Person,1
6,F,,,,2,Intransitive,Star moves in circle,Verbal,SV,0,0,,None,
6,,,,,3,Transitive,Old lady waves heart,Verbal,SVO,1,0,,Object,
6,,,,,5,Transitive,Boy kicks ball,Verbal,SVO,1,0,,Object,
6,,,,,6,Transitive,Girl pushes car,Verbal,SVO,1,0,,Object,
6,,,,,7,Intransitive,Old lady jumps,Verbal,SV,0,0,,None,
6,,,,,8,Transitive,Fireman pushes boy,Verbal,SVO,1,0,,Person,
6,,,,,9,Transitive,Old lady elbows ball,Verbal,SVO,1,0,,Object,
6,,,,,10,Intransitive,Car tumbles,Verbal,SV,0,0,,None,
6,,,,,11,Transitive,Girl rubs heart,Verbal,SVO,1,0,,Object,
6,,,,,12,Transitive,Boy lifts girl,Verbal,SVO,1,0,,Person,
6,,,,,13,Transitive,Fireman throws star,Verbal,SVO,1,0,,Object,
6,,,,,14,Intransitive,Ball rolls,Verbal,SV,0,0,,None,
6,,,,,15,Transitive,Girl elbows old lady,Verbal,SVO,1,0,,Person,
6,,,,,16,Intransitive,Boy skates,Verbal,SV,0,0,,None,
6,,,,,17,Transitive,Fireman kicks girl,Verbal,SVO,1,0,,Person,
6,,,,,18,Transitive,Old lady kisses star,Verbal,SVO,1,0,,Object,
6,,,,,19,Transitive,Old lady rubs fireman,Verbal,SVO,1,0,,Person,
6,,,,,20,Transitive,Girl throws old lady,Verbal,SVO,1,0,,Person,
6,,,,,21,Intransitive,Star jumps,Verbal,SV,0,0,,None,
6,,,,,22,Intransitive,Fireman falls,Verbal,SV,0,0,,None,
6,,,,,23,Intransitive,Heart falls,Verbal,SV,0,0,,None,
6,,,,,24,Transitive,Boy pokes heart,Verbal,SVO,1,0,,Object,
6,,,,,25,Transitive,Fireman lifts car,Verbal,SVO,1,0,,Object,
6,,,,,26,Transitive,Old lady pokes fireman,Verbal,SVO,1,0,,Person,
6,,,,,27,Intransitive,Girl tumbles,Verbal,SV,0,0,,None,
6,,,,,28,Transitive,Girl kisses boy,Verbal,SVO,1,0,,Person,
6,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
6,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,
6,,,,,5,Transitive,Boy kicks ball,Gesture,SV,1,,1,Object,
6,,,,,6,Transitive,Girl pushes car,Gesture,SVO,1,,,Object,
6,,,,,7,Intransitive,Old lady jumps,Gesture,SV,0,,,None,
6,,,,,8,Transitive,Fireman pushes boy,Gesture,SVO,1,,,Person,
6,,,,,9,Transitive,Old lady elbows ball,Gesture,SVO,1,,,Object,
6,,,,,10,Intransitive,Car tumbles,Gesture,SV,0,,,None,
6,,,,,11,Transitive,Girl rubs heart,Gesture,SVO,1,,,Object,
6,,,,,12,Transitive,Boy lifts girl,Gesture,SVO,1,,,Person,
6,,,,,13,Transitive,Fireman throws star,Gesture,SVO,1,,,Object,
6,,,,,14,Intransitive,Ball rolls,Gesture,SV,0,,,None,
6,,,,,15,Transitive,Girl elbows old lady,Gesture,SVO,1,,,Person,
6,,,,,16,Intransitive,Boy skates,Gesture,SV,0,,,None,
6,,,,,17,Transitive,Fireman kicks girl,Gesture,SVO,1,,,Person,
6,,,,,18,Transitive,Old lady kisses star,Gesture,SVO,1,,,Object,
6,,,,,19,Transitive,Old lady rubs fireman,Gesture,SVO,1,,,Person,
6,,,,,20,Transitive,Girl throws old lady,Gesture,SVO,1,,,Person,
6,,,,,21,Intransitive,Star jumps,Gesture,SV,0,,,None,
6,,,,,22,Intransitive,Fireman falls,Gesture,SV,0,,,None,
6,,,,,23,Intransitive,Heart falls,Gesture,SV,0,,,None,
6,,,,,24,Transitive,Boy pokes heart,Gesture,SVO,1,,,Object,
6,,,,,25,Transitive,Fireman lifts car,Gesture,SVO,1,,,Object,
6,,,,,26,Transitive,Old lady pokes fireman,Gesture,SVO,1,,,Person,
6,,,,,27,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
6,,,,,28,Transitive,Girl kisses boy,Gesture,SVO,1,,,Person,
7,,,,,2,Intransitive,Star moves in circle,Speech,SV,0,0,,None,
7,,,,,3,Transitive,Old lady waves heart,Speech,SVO,1,0,,Object,
7,,,,,5,Transitive,Girl kisses boy,Speech,SVO,1,0,,Person,
7,,,,,6,Intransitive,Girl tumbles,Speech,SV,0,0,,None,
7,,,,,7,Transitive,Old lady pokes fireman,Speech,SVO,1,0,,Person,
7,,,,,8,Transitive,Fireman lifts car,Speech,SVO,1,0,,Object,
7,,,,,9,Transitive,Boy pokes heart,Speech,SVO,1,0,,Object,
7,,,,,10,Intransitive,Heart falls,Speech,SV,0,0,,None,
7,,,,,11,Intransitive,Fireman falls,Speech,SV,0,0,,None,
7,,,,,12,Intransitive,Star jumps,Speech,SV,0,0,,None,
7,,,,,13,Transitive,Girl throws old lady,Speech,SVO,1,0,,Person,
7,,,,,14,Transitive,Old lady rubs fireman,Speech,SVO,1,0,,Person,
7,,,,,15,Transitive,Old lady kisses star,Speech,SVO,1,0,,Object,
7,,,,,16,Transitive,Fireman kicks girl,Speech,SVO,1,0,,Person,
7,,,,,17,Intransitive,Boy skates,Speech,SV,0,0,,None,
7,,,,,18,Transitive,Girl elbows old lady,Speech,SV,0,0,,Person,
7,,,,,19,Intransitive,Ball rolls,Speech,SV,0,0,,None,
7,,,,,20,Transitive,Fireman throws star,Speech,SVO,1,0,,Object,
7,,,,,21,Transitive,Boy lifts girl,Speech,SVO,1,0,,Person,
7,,,,,22,Transitive,Girl rubs heart,Speech,SVO,1,0,,Object,
7,,,,,23,Intransitive,Car tumbles,Speech,SV,0,0,,None,
7,,,,,24,Transitive,Old lady elbows ball,Speech,SVO,1,0,,Object,
7,,,,,25,Transitive,Fireman pushes boy,Speech,SVO,1,0,,Person,
7,,,,,26,Intransitive,Old lady jumps,Speech,SV,0,0,,None,
7,,,,,27,Transitive,Girl pushes car,Speech,SVO,1,0,,Object,
7,,,,,28,Transitive,Boy kicks ball,Speech,SVO,1,0,,Object,
7,,,,,2,Intransitive,Star moves in circle,Gesture,SV,0,,,None,
7,,,,,3,Transitive,Old lady waves heart,Gesture,SOV,1,1,,Object,
7,,,,,5,Transitive,Girl kisses boy,Gesture,OSV,1,1,,Person,
7,,,,,6,Intransitive,Girl tumbles,Gesture,SV,0,,,None,
7,,,,,7,Transitive,Old lady pokes fireman,Gesture,OSV,1,1,,Person,
7,,,,,8,Transitive,Fireman lifts car,Gesture,SV,1,,1,Object,
7,,,,,9,Transitive,Boy pokes heart,Gesture,SOV,1,1,,Object,
7,,,,,10,Intransitive,Heart falls,Gesture,SV,0,,,None,
7,,,,,11,Intransitive,Fireman falls,Gesture,SV,0,,,None,
7,,,,,12,Intransitive,Star jumps,Gesture,SV,0,,,None,
7,,,,,13,Transitive,Girl throws old lady,Gesture,SOV,1,1,,Person,
7,,,,,14,Transitive,Old lady rubs fireman,Gesture,SV,1,,1,Person,
7,,,,,15,Transitive,Old lady kisses star,Gesture,SOV,1,1,,Object,
7,,,,,16,Transitive,Fireman kicks girl,Gesture,SOV,1,1,,Person,
7,,,,,17,Intransitive,Boy skates,Gesture,SV,0,,,None,
7,,,,,18,Transitive,Girl elbows old lady,Gesture,SV,1,,1,Person,
7,,,,,19,Intransitive,Ball rolls,Gesture,SV,0,,,None,
7,,,,,20,Transitive,Fireman throws star,Gesture,SOV,1,1,,Object,
