Participant,Tester,Initial Coder,Blind Coder,Embod Coder,Blind Embod Coder,Date Tested,Time Tested,EventVersion,Previous Study?,ASL?,Filename,Original Filenames,In AllData?,To include,Exclude reason,Notes
32,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_32_Gesture, Spatial_32_Case","S12_00182, S12_00184",Yes,1,,
33,Eunice,Caitlin,Miguel,Miguel,,UNK,UNK,,,,"Spatial_33_Gesture, Spatial_33_Case","S13_00187, S13_00188, S13_00189",Yes,1,,"Eunice Case task coding missing, needs recoding"
34,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_34_Gesture, Spatial_34_Case","S14_00191, S14_00192,S14_00193",Yes,1,,
35,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Didn't use, doesn't have casemarking video",S15_00197-S15_00202,No,0,INCOMPLETE,Subject didn't complete Case condition
36,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_36_Gesture, Spatial_36_Case","S16_00205, S16_00206, S16_00207",Yes,1,,
37,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_37_Gesture, Spatial_37_Case","S17_00210, S17_00211, S17_00212",Yes,1,,
38,Eunice,Eunice,Miguel,Miguel,,UNK,UNK,,,,"Spatial_38_Gesture, Spatial_38_Case","S18_00002, S18_00003",Yes,1,,
39,NA,NA,NA,Miguel,,NA,NA,NA,NA,NA,Number not used,,No,0,NA,
40,Miguel,NA,NA,Miguel,,5/14/14,1430,B,,No,Spatial_40_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Hand cueing. Miguel outside testing room
41,Miguel,NA,NA,Miguel,,5/14/14,1500,A,,No,Spatial_41_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. Hand cueing. Miguel outside testing room
42,Miguel,NA,NA,Miguel,,5/14/14,1530,B,,No,Spatial_42_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. May not have understood instructions. Hand cueing. Miguel outside testing room
43,Miguel,NA,NA,Miguel,,5/14/14,1600,B,Repeat,No,Spatial_43_05142014.MTS,,No,0,NA,"Possible repeat? A lot of only ""V"" Hand cueing. Miguel outside testing room"
44,Miguel,NA,NA,Miguel,,5/14/14,1630,B,,No,Spatial_44_05142014.MTS,,No,0,EXP ERROR,Possible repeat? Case-marked in free part. Hand cueing. Miguel outside testing room.
45,Miguel,NA,NA,Miguel,,5/16/14,1300,B,Repeat,No,Spatial_45_05162014.MTS,,No,0,NA,Repeat! And Miguel outside testing room
46,Miguel,Miguel,Caitlin,Miguel,,5/16/14,1330,A,,No,Spatial_46_05162014.MTS,,Yes,1,,Could not come up with gestures for some of the people/objects. Miguel outside testing room.
47,Miguel,Miguel,Mitchell,Miguel,,5/16/14,1400,B,,No,Spatial_47_05162014.MTS,,Yes,1,,Miguel outside testing room
48,Miguel,Miguel,Mitchell,Miguel,,5/16/14,1600,A,,No,Spatial_48_05162014.MTS,,Yes,0,CONFUSED,"Maybe intoxicated? Seemed competent to do the task, though. Miguel outside testing room."
49,Miguel,Miguel,Caitlin,Miguel,,5/23/14,1100,B,,No,Spatial_49_05232014.MTS,,Yes,1,,Did not understand. Said he could not make gestures for the actor.
50,Miguel,Miguel,Mitchell,Miguel,,5/23/14,1130,A,,No,Spatial_50_05232014.MTS,,Yes,1,,
51,Miguel,Miguel,NA,Miguel,,5/23/14,1200,B,,No,Spatial_51_05232014.MTS,,Yes,0,CONFUSED,DNR subject; Was not very complete with the gesture sequences.
52,Miguel,Miguel,Caitlin,Miguel,,5/23/14,1230,A,,No,Spatial_52_05232014.MTS,,Yes,1,,
53,Miguel,Miguel,Mitchell,Miguel,,5/23/14,1430,B,,No,Spatial_53_05232014.MTS,,Yes,1,,
54,Miguel,Miguel,Caitlin,Miguel,,5/23/14,1630,A,,No,Spatial_54_05232014.MTS,,Yes,0,V-Only,Predominantly verb-only gesture sequences.
55,Miguel,Miguel,NA,Miguel,,6/6/14,1230,B,Repeat,No,Spatial_55_05232014.MTS,,No,0,NA,
56,Miguel,Miguel,NA,Miguel,,6/6/14,1300,A,Repeat,No,Spatial_56_05232014.MTS,,No,0,NA,
57,Miguel,Miguel,Cristina,Miguel,,6/6/14,1430,B,Repeat,No,Spatial_57_05232014.MTS,,Yes,0,NA,Did the same study twice. Is participant number 36
58,Miguel,Miguel,Cristina,Miguel,,6/6/14,1600,A,,No,Spatial_58_05232014.MTS,,Yes,1,,
59,Miguel,Miguel,NA,Miguel,,6/11/14,1430,B,,No,Spatial_59_05232014.MTS,,No,0,CONFUSED,Predominantly verb-only gesture sequences.
60,Miguel,Miguel,Caitlin,Miguel,,6/18/14,1400,A,,No,Spatial_60_05232014.MTS,,Yes,1,,
61,Miguel,Miguel,Caitlin,Miguel,,6/18/14,1500,B,,No,Spatial_61_05232014.MTS,,Yes,1,,
62,Miguel,Miguel,Caitlin,Miguel,,6/18/14,1600,A,,No,Spatial_62_05232014.MTS,,Yes,1,,
63,Miguel,Miguel,Caitlin,Miguel,,6/19/14,1100,B,,No,Spatial_63_05232014.MTS,,Yes,1,,
64,Miguel,Miguel,Cristina,Miguel,,6/19/14,1200,A,,No,Spatial_64_05232014.MTS,,Yes,1,,
65,Miguel,Miguel,Cristina,Miguel,,6/19/14,1300,A,,No,Spatial_65_05232014.MTS,,Yes,1,,
66,Miguel,Miguel,Caitlin,Miguel,,6/19/14,1600,B,,No,Spatial_66_05232014.MTS,,Yes,1,,
67,Miguel,Miguel,Caitlin,Miguel,,6/20/14,1200,A,,No,Spatial_67_05232014.MTS,,Yes,1,,
